,temperature
2024-07-05 00:00:00,63.9
2024-07-05 00:05:00,63.84166666666667
2024-07-05 00:10:00,63.78333333333333
2024-07-05 00:15:00,63.725
2024-07-05 00:20:00,63.666666666666664
2024-07-05 00:25:00,63.608333333333334
2024-07-05 00:30:00,63.55
2024-07-05 00:35:00,63.49166666666667
2024-07-05 00:40:00,63.43333333333334
2024-07-05 00:45:00,63.375
2024-07-05 00:50:00,63.31666666666667
2024-07-05 00:55:00,63.25833333333333
2024-07-05 01:00:00,63.2
2024-07-05 01:05:00,63.11666666666667
2024-07-05 01:10:00,63.03333333333334
2024-07-05 01:15:00,62.95
2024-07-05 01:20:00,62.86666666666667
2024-07-05 01:25:00,62.78333333333334
2024-07-05 01:30:00,62.7
2024-07-05 01:35:00,62.61666666666667
2024-07-05 01:40:00,62.53333333333334
2024-07-05 01:45:00,62.45
2024-07-05 01:50:00,62.36666666666667
2024-07-05 01:55:00,62.28333333333334
2024-07-05 02:00:00,62.2
2024-07-05 02:05:00,62.11666666666667
2024-07-05 02:10:00,62.03333333333334
2024-07-05 02:15:00,61.95
2024-07-05 02:20:00,61.86666666666667
2024-07-05 02:25:00,61.78333333333334
2024-07-05 02:30:00,61.7
2024-07-05 02:35:00,61.61666666666667
2024-07-05 02:40:00,61.53333333333334
2024-07-05 02:45:00,61.45
2024-07-05 02:50:00,61.36666666666667
2024-07-05 02:55:00,61.28333333333334
2024-07-05 03:00:00,61.2
2024-07-05 03:05:00,61.1
2024-07-05 03:10:00,61.0
2024-07-05 03:15:00,60.9
2024-07-05 03:20:00,60.800000000000004
2024-07-05 03:25:00,60.7
2024-07-05 03:30:00,60.6
2024-07-05 03:35:00,60.5
2024-07-05 03:40:00,60.4
2024-07-05 03:45:00,60.3
2024-07-05 03:50:00,60.2
2024-07-05 03:55:00,60.1
2024-07-05 04:00:00,60.0
2024-07-05 04:05:00,60.05
2024-07-05 04:10:00,60.1
2024-07-05 04:15:00,60.15
2024-07-05 04:20:00,60.2
2024-07-05 04:25:00,60.25
2024-07-05 04:30:00,60.300000000000004
2024-07-05 04:35:00,60.35
2024-07-05 04:40:00,60.4
2024-07-05 04:45:00,60.45
2024-07-05 04:50:00,60.5
2024-07-05 04:55:00,60.550000000000004
2024-07-05 05:00:00,60.6
2024-07-05 05:05:00,60.625
2024-07-05 05:10:00,60.65
2024-07-05 05:15:00,60.675
2024-07-05 05:20:00,60.7
2024-07-05 05:25:00,60.725
2024-07-05 05:30:00,60.75
2024-07-05 05:35:00,60.775
2024-07-05 05:40:00,60.8
2024-07-05 05:45:00,60.824999999999996
2024-07-05 05:50:00,60.85
2024-07-05 05:55:00,60.875
2024-07-05 06:00:00,60.9
2024-07-05 06:05:00,61.11666666666667
2024-07-05 06:10:00,61.33333333333333
2024-07-05 06:15:00,61.55
2024-07-05 06:20:00,61.766666666666666
2024-07-05 06:25:00,61.983333333333334
2024-07-05 06:30:00,62.2
2024-07-05 06:35:00,62.416666666666664
2024-07-05 06:40:00,62.63333333333333
2024-07-05 06:45:00,62.85
2024-07-05 06:50:00,63.06666666666666
2024-07-05 06:55:00,63.28333333333333
2024-07-05 07:00:00,63.5
2024-07-05 07:05:00,63.88333333333333
2024-07-05 07:10:00,64.26666666666667
2024-07-05 07:15:00,64.65
2024-07-05 07:20:00,65.03333333333333
2024-07-05 07:25:00,65.41666666666666
2024-07-05 07:30:00,65.8
2024-07-05 07:35:00,66.18333333333334
2024-07-05 07:40:00,66.56666666666666
2024-07-05 07:45:00,66.94999999999999
2024-07-05 07:50:00,67.33333333333333
2024-07-05 07:55:00,67.71666666666667
2024-07-05 08:00:00,68.1
2024-07-05 08:05:00,68.55833333333332
2024-07-05 08:10:00,69.01666666666667
2024-07-05 08:15:00,69.475
2024-07-05 08:20:00,69.93333333333332
2024-07-05 08:25:00,70.39166666666667
2024-07-05 08:30:00,70.85
2024-07-05 08:35:00,71.30833333333332
2024-07-05 08:40:00,71.76666666666667
2024-07-05 08:45:00,72.225
2024-07-05 08:50:00,72.68333333333332
2024-07-05 08:55:00,73.14166666666667
2024-07-05 09:00:00,73.6
2024-07-05 09:05:00,74.13333333333333
2024-07-05 09:10:00,74.66666666666666
2024-07-05 09:15:00,75.19999999999999
2024-07-05 09:20:00,75.73333333333333
2024-07-05 09:25:00,76.26666666666667
2024-07-05 09:30:00,76.8
2024-07-05 09:35:00,77.33333333333333
2024-07-05 09:40:00,77.86666666666666
2024-07-05 09:45:00,78.39999999999999
2024-07-05 09:50:00,78.93333333333334
